id;number;stage;area_m2;price_total_clp;reservation_amount_clp;status;reserved_until;reserved_at;reserved_by;order_id;updated_at;cuotas;pie;valor_cuota;last_installment_amount
3;3;1;200;35990000;500000;sold;2026-02-18 12:56:08.956;2026-02-18 12:54:08.956;session_1771415740961_c0ceewal3;ALM31419248956;2026-03-10 21:23:48.626;64;1000000;550000;340000
34;34;1;390;43990000;500000;sold;2026-02-16 07:04:29.117;2026-02-16 07:02:29.117;session_1771225324522_h74ljxbwb;ALM341225349117;2026-02-20 16:42:36.099;77;2000000;550000;190000
189;58;4;390;43990000;500000;reserved;2026-02-26 04:38:07.291;2026-02-26 04:36:07.291;session_1772080539602_sgyiakzwp;ALM1892080567291;2026-02-26 04:36:07.291;77;2000000;550000;190000
123;31;3;390;43990000;500000;reserved;2026-02-26 05:43:29.921;2026-02-26 05:41:29.921;session_1772084428440_s1ekjqnc2;ALM1232084489921;2026-02-26 05:41:29.921;77;2000000;550000;190000
120;28;3;390;43990000;500000;reserved;2026-02-17 04:46:16.409;2026-02-17 04:44:16.409;session_1771303096369_u77nfpy5v;ALM1201303456409;2026-02-17 04:44:16.409;77;2000000;550000;190000
90;41;2;390;43990000;500000;sold;;;;ALM900127779054;2026-02-25 17:21:26.257;77;2000000;550000;190000
150;19;4;200;35990000;500000;reserved;2026-02-15 16:57:46.722;2026-02-15 16:55:46.722;session_1771174526459_430iqf9gv;ALM1501174546722;2026-02-15 16:55:46.722;64;1000000;550000;340000
98;6;3;200;35990000;500000;available;;;;;2026-02-11 17:46:24.26;63;1500000;550000;390000
100;8;3;200;35990000;500000;available;;;;;2026-02-11 17:46:24.27;63;1500000;550000;390000
101;9;3;200;35990000;500000;available;;;;;2026-02-11 17:46:24.273;63;1500000;550000;390000
102;10;3;200;35990000;500000;available;;;;;2026-02-11 17:46:24.276;63;1500000;550000;390000
103;11;3;200;35990000;500000;available;;;;;2026-02-11 17:46:24.28;63;1500000;550000;390000
24;24;1;200;35990000;500000;available;;;;;2026-02-11 17:46:23.927;63;1500000;550000;390000
25;25;1;200;35990000;500000;available;;;;;2026-02-11 17:46:23.93;63;1500000;550000;390000
107;15;3;200;35990000;500000;reserved;2026-02-26 02:55:01.914;2026-02-26 02:53:01.914;session_1772074350290_8si2qrtxk;ALM1072074381914;2026-02-26 02:53:01.914;64;1000000;550000;340000
26;26;1;200;35990000;500000;available;;;;;2026-02-11 17:46:23.933;63;1500000;550000;390000
27;27;1;200;35990000;500000;available;;;;;2026-02-11 17:46:23.951;63;1500000;550000;390000
44;44;1;390;35900000;200000;sold;;;;;2026-03-10 20:07:47.739;52;7500000;550000;350000
105;13;3;200;35990000;500000;available;;;;;2026-02-11 17:46:24.288;63;1500000;550000;390000
106;14;3;200;35990000;500000;available;;;;ALM1060831914694;2026-02-11 17:46:24.294;63;1500000;550000;390000
111;19;3;200;35990000;500000;available;;;;ALM1110077120781;2026-02-11 17:46:24.322;63;1500000;550000;390000
139;8;4;200;35990000;500000;available;;;;;2026-02-11 17:46:24.443;63;1500000;550000;390000
144;13;4;200;35990000;500000;"available
";2026-02-12 21:39:40.216;2026-02-12 21:37:40.216;session_1770932039246_d8f2q7oqm;ALM1440932260217;2026-02-12 21:39:06.22;64;1000000;550000;340000
112;20;3;200;35990000;500000;"available
";2026-02-15 18:11:15.934;2026-02-15 18:09:15.934;session_1771178865656_bbj4p0cy4;ALM1121178955934;2026-02-15 18:09:37.147;64;1000000;550000;340000
116;24;3;200;35990000;500000;"available
";2026-02-15 19:34:44.298;2026-02-15 19:32:44.298;session_1771183466599_08ffa7hic;ALM1161183964299;2026-02-15 19:33:04.16;64;1000000;550000;340000
169;38;4;200;35990000;500000;available;;;;;2026-02-11 17:46:24.558;63;1500000;550000;390000
52;3;2;200;35990000;500000;available;;;;;2026-02-11 17:46:24.062;63;1500000;550000;390000
47;47;1;236.97;35990000;550000;sold;;;;ALM470418311600;2026-03-10 21:22:13.698;64;1550000;550000;340000
4;4;1;200;35990000;500000;sold;;;;ALM40127421494;2026-03-10 21:27:30.188;64;1000000;550000;340000
89;40;2;390;43990000;500000;sold;;;;ALM890157418700;2026-03-10 21:30:42.474;78;1500000;550000;140000
86;37;2;390;43990000;500000;sold;2026-03-09 13:52:43.103;2026-03-09 13:50:43.103;session_1773064124209_2b4hq3a3k;ALM863064243103;2026-03-10 21:35:47.492;77;2000000;550000;190000
87;38;2;390;43990000;500000;sold;2026-03-08 22:13:30.443;2026-03-08 22:11:30.443;session_1773007680253_sjhle882u;ALM873007890443;2026-03-11 14:29:17.567;77;2000000;550000;190000
118;26;3;;0;500000;sold;;;;;2026-02-16 05:22:45.354;;;;
128;36;3;390;43990000;500000;"available
";2026-02-15 20:20:38.848;2026-02-15 20:18:38.848;session_1771186676263_9se8utcum;ALM1281186718848;2026-02-15 20:19:00.582;77;2000000;550000;190000
30;30;1;390;43990000;500000;sold;;;;ALM300230685762;2026-03-10 21:23:30.605;77;2000000;550000;190000
29;29;1;390;43990000;500000;sold;;;;ALM290127349271;2026-03-10 21:28:49.903;78;1500000;550000;140000
197;46;2;390;43990000;500000;sold;;;;ALM1970413215056;2026-03-10 21:30:54.016;78;1500000;550000;140000
80;31;2;390;43990000;500000;sold;2026-03-07 17:08:22.49;2026-03-07 17:06:22.49;session_1772902674958_dhed98pv3;ALM802903182490;2026-03-10 21:31:18.129;77;2000000;550000;190000
88;39;2;390;43990000;500000;sold;2026-03-06 16:26:10.288;2026-03-06 16:24:10.288;session_1772814146589_2b70fqqix;ALM882814250288;2026-03-10 21:34:39.714;77;2000000;550000;190000
13;13;1;200;35990000;500000;sold;2026-03-15 00:16:32.578;2026-03-15 00:14:32.578;session_1773533294736_a2d86bo0k;ALM133533672578;2026-03-15 00:19:21.067;64;1000000;550000;340000
137;6;4;200;35990000;500000;available;;;;;2026-02-11 17:46:24.435;63;1500000;550000;390000
145;14;4;200;35990000;500000;available;;;;ALM1450229223136;2026-02-11 17:46:24.468;63;1500000;550000;390000
104;12;3;200;35990000;500000;available;2026-02-16 04:35:03.866;2026-02-16 04:33:03.866;session_1771216228522_hfw8e0aay;ALM1041216383866;2026-02-16 05:11:59.983;63;1500000;550000;390000
113;21;3;200;35990000;500000;available;;;;ALM1130125413642;2026-02-11 17:46:24.332;63;1500000;550000;390000
148;17;4;200;35990000;500000;available;;;;;2026-02-11 17:46:24.482;63;1500000;550000;390000
135;4;4;215.63;35990000;500000;available;;;;ALM1359879527239;2026-02-11 17:46:24.425;63;1500000;550000;390000
136;5;4;201.33;35990000;500000;available;;;;ALM1369881862135;2026-02-11 17:46:24.43;63;1500000;550000;390000
7;7;1;200;35990000;500000;reserved;2026-03-15 17:52:27.731;2026-03-15 17:50:27.731;session_1773596868094_wm4zoq8v6;ALM73597027731;2026-03-15 17:50:27.731;64;1000000;550000;340000
178;47;4;232.04;35990000;500000;available;;;;;2026-02-11 17:46:24.597;63;1500000;550000;390000
85;36;2;390;43990000;500000;sold;;;;ALM850127653988;2026-03-15 18:13:36.688;77;2000000;550000;190000
124;32;3;390;43990000;500000;reserved;2026-02-26 00:33:54.356;2026-02-26 00:31:54.356;session_1772065873857_57iebb47j;ALM1242065914356;2026-02-26 00:31:54.356;77;2000000;550000;190000
114;22;3;200;35990000;500000;reserved;2026-02-26 02:09:20.493;2026-02-26 02:07:20.493;session_1772071611193_onf63gj4g;ALM1142071640494;2026-02-26 02:07:20.493;64;1000000;550000;340000
125;33;3;390;43990000;500000;reserved;2026-02-26 05:34:50.741;2026-02-26 05:32:50.741;session_1772083807251_v0ky8i2hw;ALM1252083970741;2026-02-26 05:32:50.741;77;2000000;550000;190000
179;48;4;208.79;35990000;500000;available;;;;;2026-02-11 17:46:24.601;63;1500000;550000;390000
133;2;4;239.18;35990000;500000;available;;;;ALM1339956570808;2026-02-11 17:46:24.416;63;1500000;550000;390000
134;3;4;228.91;35990000;500000;available;;;;ALM1349956653294;2026-02-11 17:46:24.42;63;1500000;550000;390000
173;42;4;294.07;35990000;500000;available;;;;ALM1730079749415;2026-02-16 05:26:27.192;63;1500000;550000;390000
149;18;4;200;35990000;500000;available;;;;;2026-02-11 17:46:24.485;63;1500000;550000;390000
165;34;4;200;35990000;500000;available;;;;;2026-02-11 17:46:24.542;63;1500000;550000;390000
109;17;3;200;35990000;500000;reserved;2026-02-26 05:47:35.341;2026-02-26 05:45:35.341;session_1772084685952_xvfsswdhb;ALM1092084735341;2026-02-26 05:45:35.341;64;100000;550000;340000
198;45;2;390;35900000;200000;sold;;;;;2026-03-09 17:13:22.339;52;7500000;550000;350000
132;1;4;249.24;35990000;500000;reserved;2026-03-09 22:31:33.57;2026-03-09 22:29:33.57;session_1773094956825_ihjpx9phv;ALM1323095373570;2026-03-09 22:29:33.57;64;1000000;550000;340000
119;27;3;;0;500000;sold;;;;;2026-02-16 05:21:58.443;;;;
176;45;4;;0;500000;sold;;;;;2026-02-16 05:23:10.778;;;;
78;29;2;;42900000;500000;sold;;;;;2026-02-16 05:20:29.724;;;;
50;1;2;374.13;43990000;500000;sold;;;;;2026-02-16 05:20:54.775;77;2000000;550000;190000
168;37;4;200;35990000;500000;available;;;;;2026-02-11 17:46:24.553;63;1500000;550000;390000
33;33;1;390;43990000;500000;sold;2026-02-19 12:58:21.603;2026-02-19 12:56:21.603;session_1771505686925_qpp1g8uov;ALM331505781603;2026-03-10 21:25:03.579;77;2000000;550000;190000
32;32;1;390;43990000;500000;sold;;;;ALM320669896249;2026-03-10 21:28:24.874;78;1500000;550000;140000
115;23;3;200;35990000;500000;available;;;;;2026-02-11 17:46:24.339;63;1500000;550000;390000
117;25;3;200;35990000;500000;available;;;;;2026-02-11 17:46:24.347;63;1500000;550000;390000
138;7;4;200;35990000;500000;available;;;;;2026-02-11 17:46:24.439;63;1500000;550000;390000
142;11;4;200;35990000;500000;available;;;;;2026-02-11 17:46:24.455;63;1500000;550000;390000
143;12;4;200;35990000;500000;available;;;;ALM1430228300760;2026-02-11 17:46:24.46;63;1500000;550000;390000
158;27;4;200;35990000;500000;available;;;;;2026-02-11 17:46:24.513;63;1500000;550000;390000
159;28;4;200;35990000;500000;available;;;;;2026-02-11 17:46:24.516;63;1500000;550000;390000
160;29;4;200;35990000;500000;available;;;;;2026-02-11 17:46:24.518;63;1500000;550000;390000
15;15;1;200;35990000;500000;available;;;;ALM150127363615;2026-02-11 17:46:23.883;63;1500000;550000;390000
